                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 2.1457,                 1.2791,                 1.9088,                0.89805,                0.82584,                0.89866,                0.59031,                 2.6215,                 2.0467,                 2.2722,              0.0012476,              0.0012476,              0.0012476
                    116,                 2.3241,                 1.3178,                 1.9804,                0.85888,                0.83769,                0.89581,                0.58709,                 2.5921,                 2.0982,                 2.2388,               0.001241,               0.001241,               0.001241
                    117,                 2.2368,                 1.3223,                 1.9535,                0.92202,                0.79711,                0.89434,                0.56946,                 2.6906,                 2.2195,                 2.2922,              0.0012344,              0.0012344,              0.0012344
                    118,                  2.189,                  1.287,                 1.9365,                0.90345,                0.84111,                0.90403,                0.58968,                 2.6038,                 2.2124,                  2.254,              0.0012278,              0.0012278,              0.0012278
                    119,                 2.2697,                 1.2948,                 1.9728,                0.85072,                0.84841,                 0.8902,                0.56246,                 2.5957,                 2.3192,                 2.2769,              0.0012212,              0.0012212,              0.0012212
                    120,                 2.2639,                 1.2931,                 1.9543,                0.86543,                  0.831,                0.89132,                0.58963,                 2.5348,                 2.2443,                  2.244,              0.0012146,              0.0012146,              0.0012146
                    121,                 2.1195,                 1.2304,                 1.8951,                0.90129,                0.82075,                0.90301,                0.61111,                 2.5055,                 2.2166,                 2.2346,               0.001208,               0.001208,               0.001208
                    122,                 2.2206,                 1.2619,                 1.9409,                0.90308,                 0.8376,                0.90801,                0.61152,                 2.5298,                 2.1597,                 2.2576,              0.0012014,              0.0012014,              0.0012014
                    123,                 2.1413,                 1.2177,                 1.9191,                0.88915,                0.85622,                0.90553,                0.60079,                 2.5624,                  2.251,                 2.2424,              0.0011948,              0.0011948,              0.0011948
                    124,                 2.1755,                 1.2481,                 1.9433,                0.88077,                0.83427,                0.89153,                0.60464,                 2.4745,                 2.2594,                 2.2008,              0.0011882,              0.0011882,              0.0011882
                    125,                  2.185,                 1.2753,                 1.9382,                0.89209,                0.83603,                0.89696,                0.58292,                 2.6045,                 2.2057,                 2.2696,              0.0011816,              0.0011816,              0.0011816
                    126,                 2.2437,                 1.2633,                  1.986,                0.88139,                0.81409,                0.89574,                0.60033,                 2.5053,                 2.1742,                 2.2375,               0.001175,               0.001175,               0.001175
                    127,                 2.1343,                  1.208,                  1.898,                 0.8938,                0.83427,                0.89835,                0.59649,                  2.545,                 2.1711,                 2.2641,              0.0011684,              0.0011684,              0.0011684
                    128,                 2.2515,                 1.2813,                 1.9643,                0.87083,                0.83326,                0.89573,                0.59387,                 2.5197,                  2.219,                 2.2429,              0.0011618,              0.0011618,              0.0011618
                    129,                 2.1051,                 1.1917,                  1.893,                 0.8764,                0.86517,                 0.9087,                0.60691,                 2.5387,                 2.2324,                 2.2574,              0.0011552,              0.0011552,              0.0011552
                    130,                 2.2619,                 1.2677,                 1.9523,                0.86283,                0.88483,                 0.9114,                0.60847,                 2.5332,                  2.239,                 2.2714,              0.0011486,              0.0011486,              0.0011486
                    131,                 2.1833,                 1.2154,                 1.9347,                0.91466,                0.84296,                0.91092,                0.60175,                 2.5658,                 2.2617,                 2.2736,               0.001142,               0.001142,               0.001142
                    132,                 2.1713,                 1.2369,                 1.9634,                 0.8994,                0.82878,                 0.9102,                0.61284,                 2.5359,                 2.2233,                 2.2506,              0.0011354,              0.0011354,              0.0011354
                    133,                  2.258,                 1.2601,                 1.9677,                0.90687,                0.84796,                0.91268,                0.61523,                  2.546,                 2.2053,                 2.2309,              0.0011288,              0.0011288,              0.0011288
                    134,                 2.1534,                 1.2271,                 1.9157,                0.92228,                0.83337,                0.91109,                0.59735,                 2.5833,                 2.2579,                 2.2422,              0.0011222,              0.0011222,              0.0011222
                    135,                 2.1567,                 1.2443,                 1.9306,                0.90021,                0.83619,                0.91278,                0.59711,                 2.5403,                 2.1701,                 2.2586,              0.0011156,              0.0011156,              0.0011156
                    136,                 2.1403,                 1.1955,                 1.9268,                 0.8696,                0.86171,                0.91436,                0.61263,                 2.5636,                 2.1106,                 2.2619,               0.001109,               0.001109,               0.001109
                    137,                 2.1688,                 1.2073,                 1.9308,                0.92841,                0.83784,                0.91769,                0.62653,                 2.5088,                 2.1764,                 2.2337,              0.0011024,              0.0011024,              0.0011024
                    138,                 2.1881,                 1.2286,                 1.8977,                0.86181,                0.84084,                0.91188,                0.62002,                 2.5218,                 2.0779,                 2.2154,              0.0010958,              0.0010958,              0.0010958
                    139,                  2.161,                 1.2411,                 1.8934,                 0.8658,                0.84551,                0.89832,                0.59475,                 2.5492,                 2.2683,                 2.1978,              0.0010892,              0.0010892,              0.0010892
                    140,                 2.1991,                 1.2052,                 1.9627,                0.90106,                0.80899,                0.89527,                0.60046,                 2.5298,                 2.2348,                 2.2249,              0.0010826,              0.0010826,              0.0010826
